
2024/08/10 (20:32:21) | ===> btop++ v.1.3.2
2024/08/10 (20:32:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/10 (20:32:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/16 (13:50:20) | ===> btop++ v.1.4.0
2024/11/16 (13:50:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/16 (13:50:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/16 (13:50:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/16 (13:56:06) | ===> btop++ v.1.4.0
2024/11/16 (13:56:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/16 (13:56:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/16 (13:56:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/16 (14:00:18) | ===> btop++ v.1.4.0
2024/11/16 (14:00:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/16 (14:00:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/16 (14:00:18) | WARNING: Intel GPU: Failed to initialize PMU
